,player,index,minutes,total_mins
0,player1,1,40.0,222.10000000000002
1,player2,2,38.2,222.10000000000002
2,player3,3,31.6,222.10000000000002
3,player4,4,25.5,222.10000000000002
4,player5,5,23.5,222.10000000000002
5,player6,6,23.1,222.10000000000002
6,player7,7,22.2,222.10000000000002
7,player8,8,18.0,222.10000000000002
8,player1,1,40.9,242.0
9,player2,2,39.5,242.0
10,player3,3,35.5,242.0
11,player4,4,31.0,242.0
12,player5,5,27.9,242.0
13,player6,6,24.2,242.0
14,player7,7,22.9,242.0
15,player8,8,20.1,242.0
16,player1,1,38.3,222.1
17,player2,2,36.1,222.1
18,player3,3,28.2,222.1
19,player4,4,27.9,222.1
20,player5,5,26.4,222.1
21,player6,6,24.0,222.1
22,player7,7,21.5,222.1
23,player8,8,19.7,222.1
24,player1,1,41.5,227.6
25,player2,2,37.8,227.6
26,player3,3,34.5,227.6
27,player4,4,29.3,227.6
28,player5,5,28.7,227.6
29,player6,6,22.7,227.6
30,player7,7,18.6,227.6
31,player8,8,14.5,227.6
32,player1,1,37.6,230.50000000000003
33,player2,2,36.8,230.50000000000003
34,player3,3,34.5,230.50000000000003
35,player4,4,32.7,230.50000000000003
36,player5,5,23.8,230.50000000000003
37,player6,6,22.3,230.50000000000003
38,player7,7,21.6,230.50000000000003
39,player8,8,21.2,230.50000000000003
40,player1,1,40.7,234.0
41,player2,2,36.3,234.0
42,player3,3,35.7,234.0
43,player4,4,35.4,234.0
44,player5,5,24.9,234.0
45,player6,6,24.1,234.0
46,player7,7,20.4,234.0
47,player8,8,16.5,234.0
48,player1,1,41.0,228.7
49,player2,2,40.3,228.7
50,player3,3,33.8,228.7
51,player4,4,27.5,228.7
52,player5,5,26.1,228.7
53,player6,6,21.7,228.7
54,player7,7,19.3,228.7
55,player8,8,19.0,228.7
56,player1,1,40.8,233.3
57,player2,2,39.3,233.3
58,player3,3,33.0,233.3
59,player4,4,30.0,233.3
60,player5,5,27.6,233.3
61,player6,6,22.8,233.3
62,player7,7,21.9,233.3
63,player8,8,17.9,233.3
